name	address	cross street	phone	cash	87 cash	87 cash time	91 cash	91 cash time	87 credit	87 credit time	91 credit	91 credit time
ARCO	12332 W Washington Blvd Los Angeles, CA 90066-5510	S Centinela Ave	Phone:  310-398-1783	False					2.61	2h ago	2.81	2h ago
Costco	13463 Washington Blvd Culver City, CA 90292-5658	Glencoe Ave	Phone:  310-754-2003	False					2.53	49m ago	2.81	49m ago
ARCO	5301 W Olympic Blvd Los Angeles, CA 90036-4804	La Brea Ave	Phone:  323-934-6009	False					2.69	28m ago	2.89	28m ago
ARCO	4169 Venice Blvd Los Angeles, CA 90019-6049	Crenshaw Blvd	Phone:  323-733-2202	False					2.79	8h ago	3.01	8h ago
ARCO	1255 N Highland Ave Hollywood, CA 90038-1206	Fountain Ave	Phone:  323-467-0540	False					2.89	5h ago	3.19	5h ago
ARCO	6100 Franklin Ave Hollywood, CA 90028-5206	N Gower St	Phone:  323-467-8398	False					2.79	3h ago	2.99	3h ago
ARCO	4103 Verdugo Rd Los Angeles, CA 90065-3820	York Blvd	Phone:  323-258-6432	False					2.69	1h ago		
ARCO	4380 Eagle Rock Blvd Eagle Rock, CA 90041-3234	York Blvd	Phone:  323-254-0892	False					2.69	16h ago	2.89	16h ago
ARCO	1633 N Altadena Dr Pasadena, CA 91107-1441	New York Dr	Phone:  626-797-0369	False					2.85	1h ago	3.05	1h ago
ARCO	2171 N Fair Oaks Ave Altadena, CA 91001-5736	W Woodbury Rd	Phone:  626-296-0030	False					2.79	17h ago	2.99	17h ago
ARCO	5731 Firestone Blvd South Gate, CA 90280-3703	Garfield Ave	Phone:  (562) 928-4324	False					2.63	9h ago	2.89	9h ago
ARCO	2740 E Olympic Blvd Los Angeles, CA 90023-3410	Orme Ave	Phone:  323-980-0914	False					2.69	4h ago	2.99	17h ago
ARCO	3949 Dennison St Los Angeles, CA 90023-2434	S Ditman Ave	Phone:  323-267-8509	False					2.63	1h ago	2.93	1h ago
Costco	6333 Telegraph Rd Commerce, CA 90040-2513	E Washington Blvd	Phone:  323-767-2640	False					2.53	1h ago	2.73	1h ago
Costco	8810 Tampa Ave Northridge, CA 91324-3519	Londelius St	Phone:  818-428-0001	False					2.59	1h ago	2.79	1h ago
ARCO	9110 Topanga Canyon Blvd Chatsworth, CA 91311-5724	Nordhoff St	Phone:  818-576-9440	False					2.75	5h ago	2.95	5h ago
ARCO	4359 Coldwater Canyon Ave Studio City, CA 91604-1438	Moorpark St	Phone:  818-506-0768	True	2.89	3h ago	3.09	3h ago	2.85	3h ago	3.09	3h ago
ARCO	3278 E Slauson Ave Vernon, CA 90058-3919	Alcoa Ave	Phone:  323-581-7800	False					2.59	18h ago	2.79	18h ago
ARCO	1605 Glendale Blvd Los Angeles, CA 90026-2416	Berkeley Ave	Phone:  213-483-3075	False					2.73	4h ago	2.93	4h ago
ARCO	550 Foothill Blvd La Canada, CA 91011-3506	Woodleigh Ln	Phone:  818-790-5520	False					2.73	4h ago	2.93	4h ago
